"Rental contract has already been signed on  %1. You may update the signature below.","وقد تم بالفعل توقيع عقد الإيجار على٪ 1. يمكنك تحديث التوقيع أدناه."
"Signature has been saved to the rental contract","تم حفظ التوقيع على عقد الإيجار"
"Sign Contract","توقيع العقد"
"View Contract","عقد مشاهدة"
"Client First Name","العميل الاسم الأول"
"Client Last Name","العميل اسم العائلة"
"Name:","اسم:"
"Signed on:","وقعت على:"
"Rental Contract","عقد ايجار"
"By signing below you are agreeing to the terms of the Rental Contract.","من خلال التوقيع أدناه، فإنك توافق على شروط عقد الإيجار."
"Sign Above","توقيع فوق"
"Name: ","اسم:"
"Clear","واضح"
"Name","اسم"
"Signed on","وقعت على"
"Sign Rental Contract","توقيع عقد الإيجار"
"Save","حفظ"
"Cancel","إلغاء"
"Please provide signature first.","يرجى تقديم التوقيع أولا."
"Please type in your name below the signature field to confirm agreement.","يرجى كتابة اسمك أسفل حقل توقيع لتأكيد الاتفاق."
"Rental Contracts","عقود الإيجار"
"Rental Contract Title","تأجير عنوان العقد"
"Terms and conditions to include in rental contract","الشروط والأحكام لتشمل في عقد الإيجار"
"Custom header text to include in the contract","نص رأس العرف على أن تدرج في العقد"
"Custom footer text to include in the contract","نص تذييل مخصص لتشمل في العقد"
"Show rental contract signing and attach contract even if order contains no rental products?","تظهر توقيع عقد الإيجار ونعلق العقد حتى إذا كان النظام لا يحتوي على منتجات الإيجار؟"
"Include list of items in the contract","قائمة من البنود في العقد تشمل"
"Include manual hard copy signature field","يشمل الدليل الميداني توقيع نسخة مطبوعة"
"Show rental contract link and enable digital signatures in customer view order area","اظهار الرابط عقد الإيجار وتمكين التواقيع الرقمية في العملاء نظرا منطقة ترتيب"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","هذا وسوف تظهر في منطقة أوامري وصلة &quot;عقد الإيجار&quot; التي تتيح للعملاء لتحميل عقد الإيجار والتوقيع عليه رقميا باستخدام الماوس أو الشاشة التي تعمل باللمس"
"Require rental contract signature for checkout","تتطلب توقيع عقد الإيجار لالخروج"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","هذا وسوف تظهر على الخروج مراجعة حقل التوقيع ومطلوب العملاء للتوقيع على المضي قدما ووضع النظام"
"Attach Contract PDF to order emails?","إرفاق عقد PDF لطلب رسائل البريد الإلكتروني؟"
