"Rental contract has already been signed on  %1. You may update the signature below.","Nájemní smlouvy již byla podepsána dne% 1. Můžete aktualizovat pod jejím podpisem."
"Signature has been saved to the rental contract","Podpis byl uložen do nájemní smlouvy"
"Sign Contract","uzavřít smlouvu"
"View Contract","View Contract"
"Client First Name","Klient Jméno"
"Client Last Name","Klient Příjmení"
"Name:","Jméno:"
"Signed on:","Podepsané dne:"
"Rental Contract","nájemní smlouvy"
"By signing below you are agreeing to the terms of the Rental Contract.","Svým podpisem níže vyjadřujete svůj souhlas s podmínkami nájemní smlouvy."
"Sign Above","Registrujte Nad"
"Name: ","Jméno:"
"Clear","Jasný"
"Name","Jméno"
"Signed on","byla podepsána dne"
"Sign Rental Contract","Podepsat nájemní smlouvy"
"Save","Uložit"
"Cancel","Zrušit"
"Please provide signature first.","Uveďte první podpis."
"Please type in your name below the signature field to confirm agreement.","Prosím, zadejte své jméno pod polem podpisu aby potvrdil svůj souhlas."
"Rental Contracts","nájemních smluv"
"Rental Contract Title","Nájemní smlouvy Název"
"Terms and conditions to include in rental contract","Podmínky a pravidla zahrnout do nájemní smlouvě"
"Custom header text to include in the contract","Custom text záhlaví zahrnout do smlouvy"
"Custom footer text to include in the contract","Vlastní text zápatí zahrnout do smlouvy"
"Show rental contract signing and attach contract even if order contains no rental products?","Zobrazit nájemní smlouvy podepsání a přiložit smlouvu, i když objednávka neobsahuje žádné aut produktů?"
"Include list of items in the contract","Zahrnovat seznam položek ve smlouvě"
"Include manual hard copy signature field","Zahrnout ruční papírového pole podpisu"
"Show rental contract link and enable digital signatures in customer view order area","Zobrazit nájemní smlouvy na odkaz a povolení digitálních podpisů v zákaznických objednávek pohled prostoru"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","To se projeví v mém okolí zakázek na odkaz &quot;nájemní smlouva&quot;, která umožňuje zákazníkům stahovat smlouvu o pronájmu a podepsat jej digitálně pomocí své myši nebo dotykové obrazovky"
"Require rental contract signature for checkout","Vyžadovat nájemní smlouvy podpis pro placení"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","To se projeví na pokladně přezkoumat pole podpisu a je vyžadován zákazník podepsat postupovat, a zadat objednávku"
"Attach Contract PDF to order emails?","Přiložit Smlouva PDF objednat e-maily?"
