"Rental contract has already been signed on  %1. You may update the signature below.","Mietvertrag wurde bereits auf% 1 unterzeichnet. Sie können die Signatur unten aktualisieren."
"Signature has been saved to the rental contract","Signature wurde an den Mietvertrag gespeichert"
"Sign Contract","Unterschreibe den Vertrag"
"View Contract","Ansicht Vertrag"
"Client First Name","Auftraggeber Vorname"
"Client Last Name","Auftraggeber Nachname"
"Name:","Name:"
"Signed on:","Unterzeichnung:"
"Rental Contract","Mietvertrag"
"By signing below you are agreeing to the terms of the Rental Contract.","Durch die unter Ihnen Unterzeichnung zu den Bedingungen der Mietvertrag stimmen."
"Sign Above","Schild über"
"Name: ","Name:"
"Clear","Klar"
"Name","Name"
"Signed on","Signiert"
"Sign Rental Contract","Anmeldung Mietvertrag"
"Save","sparen"
"Cancel","Stornieren"
"Please provide signature first.","Bitte geben Sie Signatur zuerst."
"Please type in your name below the signature field to confirm agreement.","Bitte geben Sie Ihren Namen unter dem Unterschriftsfeld in Übereinstimmung zu bestätigen."
"Rental Contracts","Mietverträge"
"Rental Contract Title","Mietvertrag Titel"
"Terms and conditions to include in rental contract","AGB in Mietvertrag enthalten"
"Custom header text to include in the contract","Benutzerdefinierte Kopftext in den Vertrag aufnehmen"
"Custom footer text to include in the contract","Benutzerdefinierte Fußzeile Text in den Vertrag aufnehmen"
"Show rental contract signing and attach contract even if order contains no rental products?","Anzeigen Mietvertrag Unterzeichnung und befestigen Vertrag auch dann, wenn keine Bestellung Mietprodukte enthält?"
"Include list of items in the contract","Fügen Liste der Elemente im Vertrag"
"Include manual hard copy signature field","Fügen Sie manuell Hardcopy Schriftsfeld"
"Show rental contract link and enable digital signatures in customer view order area","Anzeigen Mietvertrag Link und ermöglichen digitale Signaturen in Kundensicht Bestellbereich"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Dies wird zeigen, in der meine Befehle Bereich einen Link &quot;Mietvertrag&quot;, die Kunden zum Download auf einen Mietvertrag und unterschreiben Sie es digital mit ihrer Maus oder Touchscreen ermöglicht"
"Require rental contract signature for checkout","Erfordern Mietvertrag Unterschrift für Kasse"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Dies zeigt an der Kasse ein Unterschriftsfeld überprüfen und Kunde ist verpflichtet, zu unterschreiben, die Bestellung zu gehen und platzieren"
"Attach Contract PDF to order emails?","Schließen Sie Vertrag PDF auf E-Mails bestellen?"
