"Rental contract has already been signed on  %1. You may update the signature below.","Ενοικίαση σύμβαση έχει ήδη υπογραφεί για% 1. Μπορείτε να ενημερώσετε την υπογραφή παρακάτω."
"Signature has been saved to the rental contract","Υπογραφή έχει αποθηκευτεί στη σύμβαση ενοικίασης"
"Sign Contract","Συμβόλαιο σημάδι"
"View Contract","Προβολή Συμβόλαιο"
"Client First Name","Πελάτης Όνομα"
"Client Last Name","Πελάτη Επώνυμο"
"Name:","Όνομα:"
"Signed on:","Υπογράφηκε στις:"
"Rental Contract","συμβόλαιο ενοικίασης"
"By signing below you are agreeing to the terms of the Rental Contract.","Υπογράφοντας παρακάτω, συμφωνείτε με τους όρους της Σύμβασης Ενοικίαση."
"Sign Above","Εγγραφείτε Πάνω"
"Name: ","Όνομα:"
"Clear","Καθαρός"
"Name","Όνομα"
"Signed on","που υπογράφηκε στις"
"Sign Rental Contract","Εγγραφείτε Ενοικίαση Συμβόλαιο"
"Save","Αποθηκεύσετε"
"Cancel","Ματαίωση"
"Please provide signature first.","Παρακαλείστε να παρέχουν πρώτης υπογραφής."
"Please type in your name below the signature field to confirm agreement.","Παρακαλώ πληκτρολογήστε το όνομά σας κάτω από το πεδίο της υπογραφής να επιβεβαιώσει τη συμφωνία."
"Rental Contracts","Ενοικίαση συμβάσεις"
"Rental Contract Title","Ενοικίαση τίτλος της σύμβασης"
"Terms and conditions to include in rental contract","Όροι και προϋποθέσεις για να συμπεριλάβει στο συμβόλαιο ενοικίασης"
"Custom header text to include in the contract","Προσαρμοσμένο κείμενο κεφαλίδας να συμπεριλάβει στη σύμβαση"
"Custom footer text to include in the contract","Προσαρμοσμένο κείμενο υποσέλιδου να συμπεριλάβει στη σύμβαση"
"Show rental contract signing and attach contract even if order contains no rental products?","Εμφάνιση ενοικίασης υπογραφής της σύμβασης και να επισυνάψετε σύμβαση, ακόμη και αν η παραγγελία δεν περιέχει προϊόντα ενοικίασης;"
"Include list of items in the contract","κατάλογος των στοιχείων στη σύμβαση περιλαμβάνουν"
"Include manual hard copy signature field","Περιλαμβάνουν οδηγίες πεδίο υπογραφής έντυπη μορφή"
"Show rental contract link and enable digital signatures in customer view order area","Εμφάνιση ενοικίασης σύνδεσμο συμβάσεων και ενεργοποίηση των ψηφιακών υπογραφών σε πελάτη περιοχή προκειμένου θέα"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Αυτό θα δείξει στην περιοχή παραγγελίες μου ένα σύνδεσμο &quot;Ενοικιάσεις Συμβόλαιο» που επιτρέπει στους πελάτες να κατεβάσετε ένα συμβόλαιο ενοικίασης και να υπογράψει ψηφιακά, χρησιμοποιώντας το ποντίκι ή οθόνη αφής τους"
"Require rental contract signature for checkout","Απαιτούν ενοικίασης υπογραφή της σύμβασης για την ολοκλήρωση της παραγγελίας"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Αυτό θα δείξει στο ταμείο επανεξετάσει ένα πεδίο υπογραφής και ο πελάτης υποχρεούται να υπογράψει για να προχωρήσει και να τοποθετήσετε την παραγγελία"
"Attach Contract PDF to order emails?","Συνδέστε Συμβόλαιο PDF κατά παραγγελία e-mail;"
