"Rental contract has already been signed on  %1. You may update the signature below.","Contratto di locazione è già stato firmato il 1%. È possibile aggiornare la firma di seguito."
"Signature has been saved to the rental contract","Firma è stato salvato il contratto di locazione"
"Sign Contract","segno contratto"
"View Contract","Vedi contratto"
"Client First Name","Cliente Nome"
"Client Last Name","Cliente Cognome"
"Name:","Nome:"
"Signed on:","Firmato il:"
"Rental Contract","Contratto di affitto"
"By signing below you are agreeing to the terms of the Rental Contract.","Con la firma di seguito si accettano i termini del contratto di locazione."
"Sign Above","Iscriviti Sopra"
"Name: ","Nome:"
"Clear","Pulire"
"Name","Nome"
"Signed on","firmato il"
"Sign Rental Contract","Iscriviti contratto di locazione"
"Save","Salvare"
"Cancel","Annulla"
"Please provide signature first.","Si prega di fornire prima della firma."
"Please type in your name below the signature field to confirm agreement.","Si prega di digitare il proprio nome sotto il campo firma per confermare l&#39;accordo."
"Rental Contracts","Contratti d&#39;affitto"
"Rental Contract Title","Contratto di locazione Titolo"
"Terms and conditions to include in rental contract","Termini e condizioni da includere nel contratto di locazione"
"Custom header text to include in the contract","testo dell&#39;intestazione personalizzati da includere nel contratto"
"Custom footer text to include in the contract","piè di pagina personalizzati da includere nel contratto"
"Show rental contract signing and attach contract even if order contains no rental products?","Mostra il noleggio firma del contratto e allegare contratto, anche se l&#39;ordine non contiene prodotti noleggio?"
"Include list of items in the contract","Includi elenco degli elementi del contratto"
"Include manual hard copy signature field","Includere il manuale cartaceo campo per la firma"
"Show rental contract link and enable digital signatures in customer view order area","Mostra il noleggio collegamento contratto e consentire le firme digitali in zona cliente ordine vista"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Questo mostrerà nella mia zona ordini un link &quot;contratto di locazione&quot;, che consente ai clienti di scaricare un contratto di locazione e firmare digitalmente utilizzando il mouse o touch screen"
"Require rental contract signature for checkout","Richiede noleggio firma del contratto per la cassa"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Questo mostrerà in cassa rivedere un campo firma e viene richiesto al cliente di firmare per procedere e l&#39;ordine"
"Attach Contract PDF to order emails?","Fissare Contratto PDF per ordinare le email?"
