"Rental contract has already been signed on  %1. You may update the signature below.","賃貸契約は既に％1に調印されました。あなたは、以下のシグネチャを更新することができます。"
"Signature has been saved to the rental contract","署名は、賃貸契約に保存されています"
"Sign Contract","サイン契約"
"View Contract","ビュー契約"
"Client First Name","クライアントファーストネーム"
"Client Last Name","クライアントの姓"
"Name:","名："
"Signed on:","サインオン："
"Rental Contract","賃貸借契約"
"By signing below you are agreeing to the terms of the Rental Contract.","あなたの下に署名することによりレンタル契約の条項に同意されています。"
"Sign Above","上記サイン"
"Name: ","名："
"Clear","クリア"
"Name","名"
"Signed on","サインオン"
"Sign Rental Contract","賃貸契約書にサイン"
"Save","セーブ"
"Cancel","キャンセル"
"Please provide signature first.","最初の署名を入力してください。"
"Please type in your name below the signature field to confirm agreement.","合意を確認するために、署名フィールドの下に自分の名前を入力してください。"
"Rental Contracts","レンタル契約"
"Rental Contract Title","賃貸契約のタイトル"
"Terms and conditions to include in rental contract","賃貸契約書に含める利用規約"
"Custom header text to include in the contract","契約に含めるカスタムヘッダーテキスト"
"Custom footer text to include in the contract","契約に含めるカスタムフッターテキスト"
"Show rental contract signing and attach contract even if order contains no rental products?","賃貸契約の署名を表示し、注文がないレンタル商品が含まれていない場合でも、契約を添付？"
"Include list of items in the contract","契約中の項目のリストを含めます"
"Include manual hard copy signature field","手動ハードコピー署名フィールドを含めます"
"Show rental contract link and enable digital signatures in customer view order area","賃貸契約のリンクを表示し、顧客ビューオーダー領域にデジタル署名を有効にします"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","これは私の命令領域にリンクデジタルで自分のマウスやタッチスクリーンを使用しているお客様は、レンタル契約をダウンロードし、それに署名することを可能にする「賃貸契約」と表示されます"
"Require rental contract signature for checkout","チェックアウトのための賃貸契約の署名を必要とします"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","これは、署名フィールドを確認し、チェックアウトに表示され、顧客が進み、注文に署名することを要求されます"
"Attach Contract PDF to order emails?","メールを注文する契約PDFを添付？"
